part_number,marking_code,package,MPQ
US1MG-L10,"LSYM
US1M",SMA,1800
ZMM55C18-L10,無,MINI-MELF,2500
P4SMAJ30AG-L10,"LSYM
CK",SMA,1800
PS6375GA-3.3-T89-LS0,7533X,SOT89,1000
SS54G-L10,"LSYM
SS54",SMC,3000
PSDD0976N-TC2-830,"P
DD0976
YWZZZZ",TO252,2500
BZT52-B5V6G-LS0,WA,SOD123,3000
ES2JG-L10,"LSYM
ES2J",SMB,3000
MMST2907AG-LS0,K3F,SOT323,3000
MMSZ5239BG-LS0,F4,SOD123,3000
LS35N03G-AD3-850,"LS35N03
G  AD3",QFN3.3*3.3,#N/A
SS1100G-LS0,10,SOD123,3000
M3G-730,"LSYM
M3",SMA,7500
STZ5.6NG-LS0,Z56,SOT23,3000
1N4937G-730,"LSYM
1N4937",DO41,5000
P6KE120AG-LS0,"LSYM
P6KE120A",DO15,3000
BZT52-B13G-LS0,WK,SOD123,3000
MBRH20100FCTG-LS0,"MBRH20100FCT
AKA LSYM",ITO220AB,1000
P6KE18AG-LS0,"LSYM
P6KE18A",DO15,3000
SS1100WG-LS0,10,SOD323,3000
S3MG-LS0,"LSYM
S3M",SMC,3000
P6SMBJ58AG-L10,"LSYM
NG",SMB,3000
BZX84C12G-LS0,Y2,SOT23,3000
MMBT4403G-LS0,2T,SOT23,3000
MURS160-LS0,"LSYM
U1J",SMA,1800
MBR30100CTG-LS0,"MBR30100CT
AKA LSYM",TO220AB,1000
PS6375G-5.0-T89-LS0,75,SOT89,1000
MMBD7000G-LS0,M5C,SOT23,3000
BZT52-B7V5G-LS0,WD,SOD123,3000
BZT52-B10G-LS0,WG,SOD123,3000
BZT52-B12G-LS0,WI,SOD123,3000
BZT52-B33G-LS0,WU,SOD123,3000
BZT52-B36G-LS0,WW,SOD123,3000
BZT52-B56G-LS0,XB,SOD123,3000
BZT52-B68G-LS0,XD,SOD123,3000
BZT52-B27G-LS0,WS,SOD123,3000
BZT52-B22G-LS0,WP,SOD123,3000
BZT52-B15G-LS0,WL,SOD123,3000
MMSZ4690G-LS0,CV,SOD123,3000
MMSZ4686G-LS0,CN,SOD123,3000
BZT52-B39G-LS0,WX,SOD123,3000
BZT52-B16G-LS0,WM,SOD123,3000
M4G-L10,"LSYM
M4",SMA,7500
P4SMAJ36AG-L10,"LSYM
CP",SMA,1800
M7G-L10,"LSYM
M7",SMA,7500
PS15N10NGTC2R-390,15N10,TO252,2500
BZT52-B36SG-LS0,WW,SOD323,3000
BZT52-B9V1SG-LS0,WF,SOD323,3000
GLS4033PG-S8-LS0,"S4103
YWWSSS",SOP8,2500
MBF10M-LS0,"LSYM
MBF10M",MBF,5000
MMBT4401G-L10,2X,SOT23,3000
MMBTA92G-T3R-L10,2D,SOT23,3000
MT8SG-LS0,"LSYM
MT8S",TBS,3000
1SMA4732G-LS0,"LSYM 
Z4V7",SMA,1800
1SMA4733G-LS0,LSYM Z5V1,SMA,1800
SS1200G-LS0,12,SOD123,3000
S10MFLG-LS0,D7,SOD123FL,2500
GP60-10G-LS0,"LSYM
GP60-10",DO15,3000
BZT52-B11G-LS0,WH,SOD123,3000
LSGD4532-075-LS0,075,4532,2500
MBR20150CTG-L10,"MBR20150CT
AKALSYM",TO220AB,1000
PS2314NGT3LR-Cu-430,143V1,SOT23-3L,3000
BAT42WSG-220,S7,SOD323,3000
PS052GS-Cu-221,SD,SOD123,3000
P6SMBJ400CAG-L10,"LSYM
FK",SMB,3000
1SMA4742G-L10,"LSYM
Z12",SMA,1800
P6SMBJ250AG-730,"LSYM
PZ",SMB,3000
P2SD18AG-730,BT,SOD123FL,2500
BZT52-B3V6SG-LS0,W5,SOD323,3000
BZT52-B75G-LS0,XE,SOD123,3000
GLS1111FNG-TC2-LS0,"D0034
YWWSSS",TO252,1000
MBR10100CTG-LS0,"MBR10100CT
AKA LSYM",TO220AB,1000
MBRB20H100CTG-LS0,"LSYM
B20H100CT",TO263,800
P4SMAJ150CAG-LS0,"LSYM
VM",SMA,1800
1SMA4746FG-060,Z18,SMAF,1800
P6KE43AG-LS0,"LSYM
P6KE43A",DO15,3000
P6KE6.8AG-LS0,"LSYM
P6KE6.8A",DO15,4000
PS79L15G-T89-LS0,"79L15
LSYMM",SOT89,1000
1SMA4759G-730,"LSYM
Z62",SMA,1800
P6SMBJ130AG-L10,"LSYM
PK",SMB,3000
MMBT5401G-LS0,2L,SOT23,3000
BZX584B5V1G-LS0,Z2,SOD523,8000
BZT52-B6V2SG-LS0,WB,SOD323,3000
BZX584B11G-LS0,Y1,SOD523,8000
P2SD26AG-730,CE,SOD123FL,2500
1SMAF4742G-LS0,"LSYM
Z12",SMAF,1800
US3GBG-LS0,"LSYM
US3GB",SMB,3000
BZT52-B33SG-LS0,WU,SOD323,3000
ES1DG-110,"LSYM
ES1D",SMA,1800
ES1DG-LS0,"LSYM
ES1D",SMA,1800
2SA1797G-Q-T89-LS0,AGQ,SOT89,1000
MJD122-TC2-LS0,"D122
LSYWW",TO252,2500
BCX56G-16-T89-LS0,"BCX56
LSYWW",SOT89,1000
ES1JG-L10,"LSYM
ES1J",SMA,1800
ES2GAG-LS0,"LSYM
ES2GA",SMA,1800
P6KE15AG-LS0,"LSYM
P6KE15A",DO15,3000
1N4148WSG-L10,T4,SOD323,3000
MBRD1040CTG-L10,"LSYM
MBRD1040CT",TO252,2500
P2SD28AG-730,JG,SOD123FL,2500
LSH1060G-LS0,AM.,SOD123,3000
P2SMF28AG-L10,JG,SOD123FL,2500
P2SD36AG-730,CP,SOD123FL,2500
P4SMAJ33AG-LS0,"LSYM
CM",SMA,1800
P6KE11AG-LS0,"LSYM
P6KE11A",DO15,3000
ES2JAG-LS0,"LSYM
ES2JG",SMA,1800
3.0SMCJ24CAG-L10,"LSYM
IEZ",SMC,3000
BZT52-B3V3SG-LS0,W4,SOD323,3000
BZT52-B6V2G-LS0,WB,SOD123,3000
MMBTA42G-L10,1D,SOT23,3000
P2SD48AG-730,CX,SOD123FL,2500
LS10L60G-BL-B-LS0,LSYM ES2GA,SMA,7500
S5MG-730,LSYM S5M,SMC,3000
BZX584B3V3G-LS0,Z14,SOD523,8000
P4SMAJ75AG-L10,"LSYM
RR",SMA,1800
BCX53G16T89LS01-L10,AL,SOT89,1000
P2SD75AG-730,XR,SOD123FL,2500
SS510G-L10,"LSYM
SS510",SMC,3000
1SS400-G-LS0,A,SOD523,8000
LS34AFG-LS0,"LSYM
LS34A",SMAF,7500
P6KE56AG-LS0,"LSYM
P6KE56A",DO15,3000
SR510G-LS0,"LSYM
SR510",DO201AD,1000
LHZ9C1-LS0,9C1,DO35,5000
PS78L05FAG-T89-LS0,"78L05
LSYWW",SOT89,1000
AZ23C6V2G-LS0,KDA,SOT23,3000
GBU6K-LS0,"LSYM
GBU6K",GBU,500
BAT54SWG-Cu-L10,KL8,SOT323,3000
DTC144E-3T3-L10,26,SOT323,3000
PS78H08KAG-T89-L10,"78H08
LSYWW",SOT89,1000
LS34AG-LS0,"LSYM
LS34A",SMA,7500
1N4448WSG-LS0,T5,SOD323,3000
MJD122G-TC2-LS0,"D122
LSYWW",SMA,2500
LS2305PGT3LR-LS0,W1YWW,SOT23-3L,3000
MBR20100CTG-LS0,"MBR20100CT
AKA LSYM",TO220AB,1000
PS321G-T5L-LS0,SAYWW,SOT23-5L,3000
PS79L12G-T89-LS0,"79L12
LSYWW",SOT89,1000
SD103AWG-L10,S4,SOD123,3000
MBR20200FCTG-300,"MBR20200CT
AKA LSYM",ITO220AB,1000
BZT52-B4V3SG-LS0,W7,SOD323,3000
LE0402C050R0P28G-LS0,.CCA,DFN1006-2D,12000
P2SMF30AG-LS0,JK,SOD123FL,2500
BZT52-B47G-LS0,WZ,SOD123,3000
DAN222G-L10,N.,SOT523,3000
LHZ332-LS0,33-2,DO35,5000
P6KE27AG-LS0,"LSYM
P6KE27A",DO15,3000
P6KE30AG-LS0,"LSYM
P6KE30A",DO15,3000
MBR20100FCTG-300,"MBR20100FCT
AKA LSYM",ITO220AB,1000
MMDT3906G-LS0,.K3N,SOT363,3000
MMSZ5234BG-LS0,E4,SOD123,3000
PS78M05AG-T43-LS0,"78M05
LSYWW",SOT223,3000
BZT52-B4V3G-LS0,W7,SOD123,3000
MBRD5100G-L10,"LSYM
MBRD5100",TO252,2500
MMBT5551G-T3-LS0,G1,SOT23,3000
UF4007G-G-L10,"LSYM
UF4007G",DO41,5000
PS78M06AG-TC2-LS0,"78M06
LSYWW",TO252,2500
GLS6206PG-T3-LS0,8P,SOT23,3000
MMBTA13G-T3-LS0,K2D,SOT23,3000
MURS160G-220,"LSYM
U1J",SMA,1800
P6SMBJ43CAG-L10,"LSYM
CT",SMB,3000
3.0SMCJ150CAG-L10,"LSYM
IHM",SMC,3000
3.0SMCJ36AG-LS0,"LSYM
HFP",SMC,3000
P2SMF36AGUCT01-L10,JP,SOD123FL,2500
2SC4115S-S-T92S-LS0,"C4115S
LSYWW",TO92S,2000
BAS40WSG-LS0,43,SOD323,3000
MURS160G-LS0,"LSYM
U1J",SMA,1800
P4SMAJ100AG-730,"LSYM
RZ",SMA,1800
HERF806G-LS0,"HERF806
KA LSYM",ITO220AC,1000
BAS40CG-L10,45,SOT23,3000
BAV19WSG-LS0,A8,SOD323,3000
BZX584B4V7G-L10,Z1,SOD523,8000
P4SMAJ100AG-LS0,"LSYM
RZ",SMA,1800
LHZ7C2-LS0,7C2,DO35,5000
MMBTA06-LS0,1GM,SOT23,3000
LHZ4B2-LS0,4B2,DO35,5000
LHZ12B3-LS0,12B3,DO35,5000
1.5KE27AG-LS0,"LSYM
1.5KE27A",DO201AE,1000
P6SMBJ43CAG-LS0,"LSYM
CT",SMB,3000
BZT52-B18SG-LS0,WN,SOD323,3000
DTC144EG-5T3-LS0,26,SOT523,3000
SSH1040WG-LS0,SL,SOD323,3000
DTA144EG-7T3-LS0,16,SOT723,10000
P6SMBJ30AG-L10,"LSYM
MK",SMB,3000
LHZ162-LS0,16-2,DO35,5000
LHZ272-LS0,27-2,DO35,5000
3.0SMCJ24AG-LS0,"LSYM
HEZ",SMC,3000
SFF80-06G-LS0,"SFF80-06
KA LSYM",ITO220AC,1000
2N7002SHG-3T6-L10,.K72,SOT363,3000
BAT54CG-L10,KL3,SOT23,3000
LHZ242-LS0,24-2,DO35,5000
PS78M05AG-TC2-LS0,"78M05
LSYWW",TO252,2500
PS78M05AGTC2LS02-LS0,"78M05
LSYWW",TO252,2500
P6KE22AG-LS0,"LSYM
P6KE22A",DO15,3000
PS6262AG3.3A-T5L-L10,ADyYM,SOT23-5L,3000
GP20-06G-G,"LSYM
GP20-06",DO15,3000
2SB1260G-R-T89-LS0,"B1260
LSYWW",SOT89,1000
BZT52-B2V0G-LS0,XF,SOD123,3000
BZT52-B15G-BL01-LS0,WK,SOD123,3000
BZT52-B3V6G-LS0,W5,SOD123,3000
P4SMAJ10AG-L10,"LSYM
AX",SMA,7500
P4SMAJ120AG-730,"LSYM
SG",SMA,1800
LSBLC24CG-L10,24C,SOD323,3000
P4SMAJ120AG-LS0,"LSYM
SG",SMA,1800
SS24G-L10,"LSYM
SS24",SMB,3000
BAV21WG-L10,T3,SOD123,3000
P4SMAJ150AGBL01-LS0,"LSYM
SG",SMA,1800
P4SMAJ12AG-L10,LSYM BE,SMA,1800
P4SMAJ150AG-730,"LSYM
SG",SMA,1800
P4SMAJ150CAG-730,"LSYM
VM",SMA,1800
P2SMF48AG-L10,CX,SOD123FL,2500
P4SMAJ18CAG-LS0,"LSYM
XT",SMA,1800
LHZ222-LS0,22-2,DO35,5000
MMSZ5250BSG-L10,J5,SOD323,3000
BZT52-B3V3G-LS0,W4,SOD123,3000
SD204EG-LS0,24,SOD123FL,3000
SS84BG-730,SS84,SMB,3000
P4SMAJ20AG-LS0,"LSYM
BV",SMA,1800
LS15L50G-BLBL01-LS0,"LSYM
15L50",TO277B,5000
MBRL1060F-LS0,"MBRL1060F
KA LSYM",ITO220AC,1000
P4SMAJ20CAG-LS0,"LSYM
XV",SMA,1800
BAT54AWG-LS0,KL6,SOT323,3000
P2SMF5.0CAG-LS0,KE,SOD123FL,2500
BZT52-B15SG-LS0,WL,SOD323,3000
BAS16WG-LS0,A2,SOT323,3000
MMSZ5246BG-L10,J1,SOD123,3000
P6SMBJ250AG-L10,"LSYM
PZ",SMB,3000
BAT54AG-L10,KL2,SOT23,3000
PS78M12GTC2-L10,"78M12
LSYM",TO252,2500
PS78L12FAG-T89-LS0,"78L12
LSYM",SOT89,1000
1SS355G-L10,A,SOD323,3000
L054BT26G-L10,5V4,SOT23-6L,3000
GP20-06-G-LS0,"LS
GP20-06",DO15,3000
LS6090NG-T3LGH01-LS0,D9,SOT23-3L,3000
MMST5551G-3T3-LS0,G1,SOT323,3000
LS2302NG-T3L-LS0,S2,SOT23-3L,3000
BZT52-B16SG-LS0,WM,SOD323,3000
PS6200BG-4.5-T5L-LS0,ADKYM,SOT23-5L,3000
RB551V-30LG-LS0,B3,SOD323L,3000
MMDT5451G-3T6-LS0,KNM,SOT363,3000
P6SMBJ400CAG-730,"LSYM
FK",SMB,3000
S10MFLG-17,D7,SOD123FL,2500
P6SMBJ36CAG-730,"LS15
CP",SMB,3000
P4SMAJ22AG-LS0,"LSYM
BX",SMA,1800
LE0402C033R100G-LS0,B1,DFN1006-2S,10000
P6KE12AG-LS0,"LSYM
P6KE12A",DO15,3000
SS510BG-LS0,"LSYM
SS510B",SMB,3000
LS6033DNG3T6LS02-L10,.D39,SOT363,3000
2N7002HG-T3-LS0,7002K,SOT23,3000
2N7002SHG3T6LS01-L10,K72.,SOT363,3000
RS3MBG-L10,"lsym
rs3mb",SMB,3000
SF20-06G-G-LS0,SF20-06G,DO15,3000
BAT54SDWG-LS0,kl8,SOT363,3000
P4SMAJ24AG-L10,"LSYM
BZ",SMA,1800
LS3406NG-T3L-LS0,W9YWW,SOT23-3L,3000
LS3407PG-T6L-LS0,W5YWW,SOT23-6L,3000
SS36AG-L10,SS36A,SMA,7500
BAV21WG-LS0,T3,SOD123,3000
ES2GG-LS0,"LSYM
ES2GG",SMB,3000
P4SMAJ28AG-LS0,CG,SMA,1800
LHZ152-LS0,15-2,DO35,5000
LHZ5B1-LS0,5B1,DO35,5000
P4SMAJ350CAG-73,LSYM UG,SMA,1800
LS3011PG-T3L-LS0,MxYM,SOT23-3L,3000
MBRD10100CTG-LS01,"LSYM
MBRD2100",DO201AD,1000
MMSZ5232BG-L10,E2,SOD123,3000
SFF200-04CTG-LS0,"SFF200-04CT
AKA LSYM",ITO220AB,1000
S10MFLG-B-LS0,D7,SOD123FL,2500
1N4448WG-LS0,"LSYM
T5",SOD123,3000
SS16G-LS0,"LSTM
SS16",SMA,7500
SD304TG-LS0,T34,SOD123FT,3000
P6SMBJ16AG-LS0,"LSYM
LP",SMB,3000
BAV70WG-L10,KL4,SOT323,3000
2SB1386-R-T89-LS0,"BCX56
LSYM",SOT89,1000
MMBT3904TG-5T3-LS0,1N,SOT523,3000
LS10L45G-YL-L10,"LSYM
10L45",TO277B,5000
GLS6202PG-T3-LS0,D1,SOT23,3000
3.0SMCJ28AG-LS0,"LSYM
HF5",SMC,3000
DTC143ZG-5T3-LS0,E23,SOT523,3000
LESD5VD5CGBL01-LS0,M5,SOD523,8000
2N7002TG-5T3-LS0,K72.,SOT523,3000
BAS316G-LS0,A6,SOD323,3000
LS2131PGT3LLS01-LS0,D8YWW,SOT23-3L,3000
MMSZ5245AG-LS0,H5,SOD123,3000
P4SMAJ40AG-730,"LSYM
CR",SMA,1800
RB551V-30G-L10,D,SOD323,3000
PS1117G-ADJ-T43-850,"1117-AD
LS - - -",SOT223,3000
P4SMAJ43AG-730,"LS15
CR",SMA,1800
P4SMAJ43AG-L10,"LSYM
CT",SMA,1800
SFF100-06G-LS0,"SFF100-06
KA LSYM",ITO220AC,1000
P4SMAJ48AG-LS0,"LSYM
CX",SMA,1800
P4SMAJ51CAG-LS0,LSYM ZM,SMA,1800
LSSDC24VT23G-LS0,L24,SOT23,3000
2N7002SHG-T3BL01-LS0,7002K.,SOT23,3000
BZT52-B30SG-LS0,WT,SOD323,3000
BZT52-B7V5SG-LS0,WD,SOD323,3000
GLS5212NG-3T3-LS0,D52,SOD323,3000
LLZ4.3B-LS0,無,MINI-MELF,2500
LM431BG-T92LS02-LS0,"431
LSYWW",TO92,2000
P6KE12CAG-LS0,"LSYM
P6KE12CA",DO15,3000
P6SMBJ24CAG-LS0,"LSYM
BZ",SMB,3000
P6SMBJ30CAG-LS0,"LSYM
CK",SMB,3000
MMDT3946G-3T6-LS0,K46,SOT363,3000
BC847BWG-LS0,1F,SOT323,3000
LS2301PGT3LS01-LS0,2301,SOT23,3000
LS2302NG-T3-LS0,S2,SOT23,3000
LS3019NG-5T3R-LS0,9N,SOT523,3000
LS3400NG-T3LGH02-LS0,EG10,SOT23-3L,3000
LS3400NG-T3L-LS0,EG10,SOT23-3L,3000
LS6033DNG-3T6R-L10,.D39,SOT363,3000
MMBTA13G-T3,K2D,SOT23,3000
P4SMAJ58AG-L10,"LSYM
RG",SMA,1800
PS317A-TB3B-LS0,"317
LSYWW",TO220B,1000
P4SMAJ6.5AG-LS01-LS0,"LSYM
AK",SMA,7500
2N7002SHG-3T3-100,7002K.,SOT323,3000
2N7002SHG-T3-100,7002K.,SOT23,3000
2N7002SHG-3T6-100,.K72(反),SOT363,3000
1N4148WG-100,T4,SOD123,3000
SD12G-LS0,6U,SOD323,3000
SS310G-LS0,"LSYM
SS310",SMC,3000
BZT52-B27SG-LS0,WS,SOD323,3000
GLS3261NG-1DL3-LS0,61,DFN1006-3,10000
LLZ3.0B-LS0,無,MINI-MELF,2500
LS4N60HG-TC2-LS0,"4N60
LSXYWW",TO252,2500
2N7002HGT3-100,7002K,SOT323,3000
MJD31C-TC2-850,"MJD31C
LSYMM",TO252,2500
P4SMAJ64AG-730,"LSYM
RM",SMA,1800
FR103FLG-LS0,F3,SOD123FL,2500
P6SMBJ12CAG-LS0,"LSYM
BE",SMB,3000
P6SMBJ20AG-LS0,"LSYM
LV",SMB,3000
P6SMBJ6.0CAG,"LSYM
AG",SMB,3000
PS391G-T5L-LS0,J1YWW,SOT23-5L,3000
BC847BWG-220,1F,SOT323,3000
BL3415ES-6L-220,3415E,SOT23-6L,3000
MMST3904G-850,K2N,SOT323,3000
SS1040-Cu-28MTS-730,SL,SOD123,3000
SD104HSG-L10,S4,SOD123FH,3000
MBR10200CTG-LS0,"MBR10200CT
AKA LSYM",TO220AB,1000
MBRD10100CTG-LS0,"LSYM
MBRD10100CT",TO252,2500
MMBT2907AG-L10,2F,SOT23,3000
PS6200AG-3.3-T3L-LS0,"ACyYM
印字最後一碼下面",SOT23-3L,3000
LHZ202-LS0,20-2,DO35,5000
P6SMBJ6.0CAG-L10,"LSYM
AG",SMB,3000
PS432BG-T92-LS0,DA 411,TO92,2000
LS3406NG-T3L-850,W9 XXX,SOT23-3L,3000
BAS40CWG-LS0,A6,SOT323,3000
GLS3013PG-3DL8-LS0,"3013
GLS YWW",3.3*3.3PDFN-8,10000
GLS6011PG-T6L-LS0,Y9,SOT23-6L,3000
P4SMAJ64CAG-LS0,"LSYM
ZM",SMA,1800
P6KE33AG-BL01-LS0,"LSYM
P6KE33A",DO15,3000
P6SMBJ13CAG-LS0,"LSYM
BG",SMB,3000
P6SMBJ54AG-LS0,"LSYM
NE",SMB,3000
MMSZ5254BG-L10,K4,SOD123,3000
SSH1060WG-LS0,AM,SOD323,3000
P6KE200AG-LS0,"LSYM
P6KE200A",DO15,3000
P6KE180AG-LS0,"LSYM
P6KE180A",DO15,3000
PS7805FAG-TC2-850,7805 LSYMM,TO252,2500
PS7805FBG-TC2-850,7805 LSYMM,TO252,2500
1N4745A-LS0,1N4745A,DO41G,2500
2SD667-D-T92M-LS0,D667 LSYWW,TO92MOD,2000
ECLAMP36VCG-LS0,36V,SOD323,3000
GP20-10-G-LS0,LSYM GP20-10,DO15,3000
LESD5VD8LCG-LS0,M5,DFN1006-2,10000
MMSZ5229BG-LS0,G4,SOD123,3000
SS310BG-LS0,LSYM SS310B,SMB,3000
3.0SMCJ170CAG-100,LSYM DHR,SMC,3000
LHZ3C2-100,3C2,DO35,5000
GP60-10G-220,LSYM GP60-10,DO15,3000
MMBT2222AGT3R-Cu-220,1P,SOT23,3000
MMBT3904G-220,1AM,SOT23,3000
MMBT3906G-220,2A,SOT23,3000
2SC2120-O-T92-LS0,C2120 LSYWW,TO92,2000
BZT52-B3V0G-LS0,W3,SOD123,3000
P4SMAJ78AG-LS0,"LSYM
RT",SMA,1800
P6SMBJ43AG-LS0,LSYM MT,SMB,3000
SS26G-LS0,LSYM SS26,SMB,3000
BZT52-B20SG-LS0,WO,SOD323,3000
BZX584B6V2G-LS01,H5,SOD523,8000
BZT52-B2V4G-LS0,W1,SOD123,3000
BZT52-B2V7G-LS0,W2,SOD123,3000
BZT52-B3V9G-LS0,W6,SOD123,3000
